content,hasil_stopword,hasil_stemming
Terimakasih!!!!!!!!!!!!!,['terimakasih'],['terimakasih']
Mantap betul lah,['mantap'],['mantap']
Sangat mudah diakses,"['mudah', 'diakses']","['mudah', 'akses']"
Anda mesti bertanggung jawab atas semua kebocoran data pribadi pejabat dan pribadi warga,"['mesti', 'bertanggung', 'kebocoran', 'data', 'pribadi', 'pejabat', 'pribadi', 'warga']","['mesti', 'tanggung', 'bocor', 'data', 'pribadi', 'jabat', 'pribadi', 'warga']"
Sangat aman,['aman'],['aman']
Mantap,['mantap'],['mantap']
"aplikasinya diconect dg daftar antrian online di rumah sakit yg skrg masing2 rs punya sistem. baik daftar kunjungan atau antrian obat2an resep, biar lebih cepat dn tinggal ambil. atau bahkan bs diantar","['aplikasinya', 'daftar', 'antrian', 'online', 'rumah', 'sakit', 'sistem', 'daftar', 'kunjungan', 'antrian', 'obatan', 'resep', 'cepat', 'tinggal', 'ambil', 'diantar']","['aplikasi', 'daftar', 'antri', 'online', 'rumah', 'sakit', 'sistem', 'daftar', 'kunjung', 'antri', 'obat', 'resep', 'cepat', 'tinggal', 'ambil', 'antar']"
"Setelah di update kenapa serifikat gak bisa muncul , solusinya gimna ini","['muncul', 'solusinya']","['muncul', 'solusi']"
Mantap,['mantap'],['mantap']
Cepat akurat,"['cepat', 'akurat']","['cepat', 'akurat']"
ora niat rasah gawe apliksi,['niat'],['niat']
Terlalu sering update menghabiskan beberapa ruang di hp,"['menghabiskan', 'ruang']","['habis', 'ruang']"
Apk ..bodoh yg buat .terllu sering pembaharuan....,"['bodoh', 'pembaharuan']","['bodoh', 'baharu']"
Merumitkan,['merumitkan'],['rumit']
"Stlh update , data sertifikat vaksin 1 2 3 hilang semua , dianggap blm vaksin , cek di www sama , untung sertifikat 1 2 msh sempet di screen reco. Sdh hps memori jg data aplikasi relogin sama sj ... mhn sgrdi perbaiki krn di pake u ke mn2","['data', 'sertifikat', 'vaksin', 'hilang', 'dianggap', 'vaksin', 'sertifikat', 'memori', 'data', 'aplikasi', 'perbaiki']","['data', 'sertifikat', 'vaksin', 'hilang', 'anggap', 'vaksin', 'sertifikat', 'memori', 'data', 'aplikasi', 'baik']"
"Pembaruan terus,tp tambah ruwet","['pembaruan', 'ruwet']","['baru', 'ruwet']"
"Kebanyakan bug, sudah vaksin tapi gak ada sertifikat","['vaksin', 'sertifikat']","['vaksin', 'sertifikat']"
Bagus,['bagus'],['bagus']
Top,['top'],['top']
Update trus nambah memorii aja padahal terpaksa aja pake ini aplikasi biar bisa keluar,"['nambah', 'terpaksa', 'aplikasi']","['nambah', 'paksa', 'aplikasi']"
gabisa liat hasil faksin,['hasil'],['hasil']
Mempermudah,['mempermudah'],['mudah']
Cek sertifikat vaksin tidak bisa. tidak muncul apa2 hanya blank putih. Di cek lewat browser juga sama saja.,"['sertifikat', 'vaksin', 'muncul', 'putih', 'browser']","['sertifikat', 'vaksin', 'muncul', 'putih', 'browser']"
Keren bisa vaksin tanpa antri 👍👍,"['keren', 'vaksin', 'antri']","['keren', 'vaksin', 'antri']"
Diapdet gk bisa2 gimana suruh perbaharuin,"['suruh', 'perbaharuin']","['suruh', 'perbaharuin']"
"Ni aplikasi napa dah, susah banget buat login","['aplikasi', 'susah']","['aplikasi', 'susah']"
Sebel loh sering banget eror kalo lagi dibutuhkan begini😭😭 giliran tanya langsung via WA ga di respon,"['dibutuhkan', 'giliran', 'langsung', 'via', 'respon']","['butuh', 'gilir', 'langsung', 'via', 'respon']"
"Aplikasi ini gak bs d update, maklum deh aplikasi konoha","['aplikasi', 'maklum', 'aplikasi']","['aplikasi', 'maklum', 'aplikasi']"
Bagus,['bagus'],['bagus']
Mantap,['mantap'],['mantap']
Sangat berguna untuk pekerjaan saya,"['berguna', 'pekerjaan']","['guna', 'kerja']"
Ga jelas perbarui mulu,['perbarui'],['baru']
Setelah update susah di bukak,['susah'],['susah']
Terimakasih,['terimakasih'],['terimakasih']
Mantap,['mantap'],['mantap']
Sangat mudah digunakan,['mudah'],['mudah']
Mantap mi,['mantap'],['mantap']
Bagus,['bagus'],['bagus']
Updatenya maksa,['maksa'],['maksa']
Aplikasi bangke,['aplikasi'],['aplikasi']
