hasil_stemming;label;label_bayes;;;;;;;
['data' 'bocor'];Negatif;Negatif;;;;;;;
['rusak' 'sebar' 'data' 'pribadi'];Negatif;Negatif;;Confusion Matrix;;;;;
['pergi'];Positif;Positif;;;;prediksi;;;
['cetak'  'kartu' 'vaksin' 'vaksin' 'vaksinasi'];Negatif;Negatif;;;Aktual;Negatif;Positif;;
['sinyal' 'internet'];Negatif;Negatif;;;Negatif;93;1;;
['bagus' 'bantu'];Positif;Positif;;;Positif;18;36;;
['payah'];Negatif;Negatif;;;;;;;
['putus' 'tulis' 'pakai'];Negatif;Negatif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['masuk' 'salah' 'terus'];Negatif;Negatif;;;;;;;
['aplikasi' 'cacat' 'buka' 'gilir'  'hapus' 'buka' 'kai' 'ngertiin' 'tinggal' 'kereta' 'sertifikat' 'vaksin' 'aplikasi' 'cacat'];Negatif;Negatif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['habis'];Negatif;Negatif;;;;;;;
['percaya' 'aplikasi' 'website' 'bikin' 'perintah' 'turun' 'mudah' 'ribet' 'dana' 'dimasukin' 'perut'];Negatif;Negatif;;;;;;;
['aplikasi' 'coba' 'masuk' 'email' 'copot' 'pasang' 'coba' 'tulis' 'kerja'];Positif;Negatif;;;;;;;
['payah'];Negatif;Negatif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['bagus'];Positif;Positif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['baik'];Positif;Negatif;;;;;;;
['permisi' 'habis' 'booster'];Positif;Negatif;;;;;;;
['super' 'ribet' 'sebentar' 'baru'];Negatif;Negatif;;;;;;;
['aplikasi' 'buruk'];Negatif;Negatif;;;;;;;
['aplikasi' 'buruk' 'daftar'];Negatif;Negatif;;;;;;;
['aplikasi' 'aplikasi' 'susah' 'buka'];Negatif;Negatif;;;;;;;
['bagus' 'lancar'];Positif;Positif;;;;;;;
['baharu' 'sulit' 'buka'];Negatif;Negatif;;;;;;;
['bagus' 'bantu'];Positif;Positif;;;;;;;
['masuk' 'ulang' 'mohon' 'baik' 'aplikasi' 'terintergrasi' 'sehat'];Positif;Negatif;;;;;;;
['aplikasi' 'lindung' 'versi' 'baru' 'tulis' 'salah' 'aplikasi'];Positif;Negatif;;;;;;;
['maaf' 'masuk' 'aplikasi' 'peduli' 'lindung' 'mohon' 'bantu'];Negatif;Negatif;;;;;;;
['aplikasi' 'masalah' 'masuk'];Negatif;Negatif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['ribet' 'bentar' 'heran'];Negatif;Negatif;;;;;;;
['aplikasi' 'baru'];Negatif;Negatif;;;;;;;
['terimakasih'];Positif;Positif;;;;;;;
['baharu' 'parah'];Negatif;Negatif;;;;;;;
['ribet'];Negatif;Negatif;;;;;;;
['susah' 'terang' 'satpam'];Negatif;Negatif;;;;;;;
['isi' 'akses' 'bagus' 'rusak'];Negatif;Positif;;;;;;;
['guna' 'jalan'];Positif;Positif;;;;;;;
['punah'];Positif;Negatif;;;;;;;
['batu'];Positif;Negatif;;;;;;;
['niat'];Negatif;Negatif;;;;;;;
['langsung' 'masuk'];Negatif;Negatif;;;;;;;
['aplikasi' 'aplikasi' 'perintah' 'aplikasi'];Negatif;Negatif;;;;;;;
['ribet' 'aplikasi'];Negatif;Negatif;;;;;;;
['pedulilindungi' 'top'];Positif;Positif;;;;;;;
['tolong'];Negatif;Negatif;;;;;;;
['moga' 'aplikasi'];Positif;Negatif;;;;;;;
['daftar' 'info' 'sesi' 'habis' 'sila' 'ulang' 'coba' 'ulang' 'info' 'coba' 'info' 'coba' 'jam' 'aplikasi'];Negatif;Negatif;;;;;;;
['guna'];Positif;Negatif;;;;;;;
['susah'];Negatif;Negatif;;;;;;;
['ganggu'];Negatif;Negatif;;;;;;;
['sertifikat' 'vaksin' 'sulit' 'kasihan' 'jalan'];Negatif;Negatif;;;;;;;
['baru' 'menu'];Negatif;Negatif;;;;;;;
['buka' 'aplikasi' 'baharu' 'klik' 'baharu' 'buka' 'buka' 'masuk' 'pasu' 'email' 'masuk' 'putar' 'putar' 'buka'];Negatif;Negatif;;;;;;;
['aplikasi' 'data' 'master' 'peduli' 'lindung' 'hilang' 'aplikasi' 'dana' 'aplikasi' 'murah'];Negatif;Negatif;;;;;;;
['akun' 'pedulilindungi' 'ulang' 'mohon'];Negatif;Negatif;;;;;;;
['bagus'];Positif;Positif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['gagal' 'ganggu' 'emosi' 'aplikasi'];Negatif;Negatif;;;;;;;
['ribet'];Negatif;Negatif;;;;;;;
['baru'];Negatif;Negatif;;;;;;;
['susah' 'aplikasi' 'tolong' 'baik'];Negatif;Negatif;;;;;;;
['aplikasi' 'jelek' 'booster' 'status' 'kuning' 'aplikasi' 'guna' 'perintah' 'buang' 'anggar' 'aplikasi'];Negatif;Negatif;;;;;;;
['aplikasi' 'bagus' 'guna'];Positif;Positif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['bagus'];Positif;Positif;;;;;;;
['aplikasi' 'ubah' 'sertifikat' 'vaksin' 'muncul'];Negatif;Negatif;;;;;;;
['bosan'];Negatif;Negatif;;;;;;;
['aplikasi' 'rumit'];Negatif;Negatif;;;;;;;
['data' 'muncul'];Negatif;Negatif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['aplikasi' 'kemenkes' 'lelet' 'aplikasi' 'milik' 'perintah'];Negatif;Negatif;;;;;;;
['aplikasi' 'masuk' 'butuh' 'akun'];Negatif;Negatif;;;;;;;
['aplikasi' 'beda'];Negatif;Negatif;;;;;;;
['akun' 'masuk' 'sesi' 'habis' 'email' 'tulis' 'coba' 'vaksin' 'booster' 'suntik' 'muncul' 'akun' 'pedulilindungi' 'vaksin' 'tanggung'];Negatif;Negatif;;;;;;;
['coba' 'susah'];Negatif;Negatif;;;;;;;
['keren' 'vaksin' 'antri'];Positif;Positif;;;;;;;
['buka' 'menu' 'sertifikat' 'vaksin'];Negatif;Negatif;;;;;;;
['daftar' 'muncul' 'sesi' 'hapus' 'unduh'];Negatif;Negatif;;;;;;;
['data' 'aman'];Negatif;Negatif;;;;;;;
['informasi' 'harap'];Positif;Positif;;;;;;;
['payah'];Negatif;Negatif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['cepat'];Positif;Positif;;;;;;;
['baik' 'makasih'];Positif;Negatif;;;;;;;
['akun'];Negatif;Negatif;;;;;;;
['mudah' 'akses'];Positif;Negatif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['ribet' 'lihat' 'riwayat' 'vaksin' 'susah' 'ampun' 'lihat' 'profil' 'akses' 'tukar' 'data' 'ampun' 'pakai' 'beli' 'tiket' 'jalan' 'jalan' 'aplikasi' 'negara'];Negatif;Negatif;;;;;;;
['guna' 'kerja'];Positif;Negatif;;;;;;;
['suka'];Positif;Negatif;;;;;;;
['sertifikat' 'vaksin' 'layar' 'putih' 'bersih'];Negatif;Negatif;;;;;;;
['masuk' 'kerja'];Positif;Negatif;;;;;;;
['gagal' 'kali' 'masuk'];Negatif;Negatif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['susah'];Negatif;Negatif;;;;;;;
['tingkat' 'layan'];Positif;Positif;;;;;;;
['tolong' 'baik' 'aplikasi' 'susah'];Negatif;Negatif;;;;;;;
['lumayan'];Positif;Positif;;;;;;;
['bantu'];Positif;Positif;;;;;;;
['susah' 'masuk' 'enak' 'gampang' 'masuk' 'mudah' 'balik'];Negatif;Negatif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['pedulilindungi'];Positif;Negatif;;;;;;;
['bantu' 'proses' 'cepat' 'proses'];Positif;Positif;;;;;;;
['masuk' 'habis' 'coba' 'vaksin'];Negatif;Negatif;;;;;;;
['buka' 'daftar' 'ulang'];Negatif;Negatif;;;;;;;
['bagus'];Positif;Positif;;;;;;;
['baru'];Negatif;Negatif;;;;;;;
['lihat' 'sertifikat' 'ribet'];Negatif;Negatif;;;;;;;
['sertifikat' 'hilang'];Negatif;Negatif;;;;;;;
['aplikasi' 'suka' 'buka' 'sertifikat'];Negatif;Negatif;;;;;;;
['rusak' 'masuk' 'lihat' 'isi' 'email'];Negatif;Negatif;;;;;;;
['parah'];Negatif;Negatif;;;;;;;
['aplikasi' 'tengah' 'jalan' 'batal' 'coba' 'kali' 'ulang' 'tolong' 'baik'];Negatif;Negatif;;;;;;;
['akses'];Negatif;Negatif;;;;;;;
['mantap'];Positif;Positif;;;;;;;
['aplikasi'];Negatif;Negatif;;;;;;;
['aneh'];Negatif;Negatif;;;;;;;
['baharu'];Positif;Negatif;;;;;;;
